review_id,text,label,category,product_type,version,source,language
f93e5369-bf6e-4151-90cb-fa591e8f8dc5,Great air fryer for the price. Really happy with the design. Really happy with the noise level. Good value overall.,Positive,Home,air fryer,clean,synthetic_amazon_like_subset,en
7deadaaf-ab44-4e9b-bea3-91905217b9a7,Great water filter for the price. Cleaning exceeded my expectations. Really happy with the durability. Good value overall. ngl,Positive,Kitchen,water filter,noisy,synthetic_amazon_like_subset,en
347fe2e3-7132-4c6a-abd2-9c56740f361a,Very disappointed with this face moisturizer. The packaging is terrible. The value issues are unacceptable. Returning it.,Negative,Beauty,face moisturizer,clean,synthetic_amazon_like_subset,en
cdb2ef8f-75b7-44b2-b487-40e1538f3b64,Great smart watch for the price. Build quality exceeded my expectations. Love the charging speed so far. Would buy again.,Positive,Electronics,smart watch,clean,synthetic_amazon_like_subset,en
2f3ed5bc-3af7-4b5c-b4d9-4d29a92d8e77,Very disappointed with this notebook. The value issues are unacceptable. Not happy with the comfort. Not worth the money.,Negative,Office,notebook,clean,synthetic_amazon_like_subset,en
2482f7bd-db3f-4f33-a67a-02d82056eae6,Great mouse for the price. The comfort is worth it. The sound quality is excellent. Highly recommend.,Positive,Electronics,mouse,clean,synthetic_amazon_like_subset,en
869faf5d-aa0d-462d-82a5-7886b75641a8,I bought this water bottle and it works great. The comfort is great. The accuracy is great. Good value overall.,Positive,Fitness,water bottle,clean,synthetic_amazon_like_subset,en
e2cada10-6718-46c8-b617-c39f965f27cb,Great notebook for the price. Love the design so far. Really happy with the usefulness. Highly recommend.,Positive,Office,notebook,clean,synthetic_amazon_like_subset,en
1d87fbc4-4ffb-47df-b637-6d14bf7fb371,This meal prep containers is exactly what I needed. The leak resistance is solid. The sharpness is great. Highly recommend.,Positive,Kitchen,meal prep containers,noisy,synthetic_amazon_like_subset,en
fb713984-9c05-40dd-8ad6-4932f7e91646,I bought this blender and it works great. Really happy with the heat distribution. Really happy with the value. Good value overall.,Positive,Kitchen,blender,clean,synthetic_amazon_like_subset,en
